Robert,Radloff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct 11 2021,2:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time(min),Line TC Setpoint(C),Line TC(C),Line Heater(%),Vaporizer TC(C),Vaporizer HeaterTC(C),Vaporizer Heater(%),Vaporizer Scale(lb),Vaporization(lb/h),Powder Feed Setpoint(g/h),Powder Scale(g),Powder Rate(g/h),Chamber TC Setpoint(C),Chamber TC1(C),Chamber TC2(C),Chamber Heater(%),MFC#0,MFC#1,MFC#2,MFC#3,ArMFC#1,ArMFC#2,ArMFC#3,XFMR Status,Vaccum Pump Outlet TC(C),Vaccum Pump Intlet TC(C),Inlet Valve Open,Inlet Valve Closed,Outlet Valve Open,Outlet Valve Closed,MKS Press/Pos,MKS Set Point,MKS Pressure(Torr),MKS Position(degrees),Injector TC(C),HG-412,HG-414,HG-416,PG-412,PG-414,PG-416,HG-418,MTS-414,HG-419,MH-481,MTS-420,Vibrator,Vibrator2,Bell Jar Press(Torr),Exhaust Press(Torr),Run-Time(min),Sub Run-Time(min)
4716,-17.778,-17.778,0,23.481,86.244,42.05,252.6,6.825,0,9990000,0,1410,1409.636,1417.693,56.889,6.958,17.898,38.072,0,0,19.697,1.297,1,0,0,1,0,1,1,0,0,300,293.885,7.548,0,1,1,1,0,1,0,0,1,1,1,1,0,233.205,757.216,4650.767,3639.917
4717,-17.778,-17.778,0,23.383,85.991,38.998,252.5,7.699,0,9990000,0,1410,1410.041,1417.672,56.846,6.936,17.901,38.011,0,0,19.702,1.245,1,0,0,1,0,1,1,0,0,300,293.971,7.551,0,1,1,1,0,1,0,0,1,1,1,1,0,232.721,757.06,4651.783,3640.933
4718,-17.778,-17.778,0,23.407,85.708,40.398,252.6,7.217,0,9990000,0,1410,1410.106,1418.217,56.865,6.92,17.925,37.793,0,0,19.765,1.217,1,0,0,1,0,1,1,0,0,300,293.916,7.532,0,1,1,1,0,1,0,0,1,1,1,1,0,232.892,756.896,4652.783,3641.933
4719,-17.778,-17.778,0,23.541,85.727,41.666,252.6,6.797,0,9990000,0,1410,1410.154,1417.678,56.784,6.92,17.9,38.073,0,0,19.693,1.284,1,0,0,1,0,1,1,0,0,300,293.968,7.548,0,1,1,1,0,1,0,0,1,1,1,1,0,232.706,757.04,4653.8,3642.95
4720,-17.778,-17.778,0,23.468,85.702,41.497,252.6,6.839,0,9990000,0,1410,1410.657,1417.747,56.556,6.952,17.901,37.948,0,0,19.706,1.202,1,0,0,1,0,1,1,0,0,300,293.877,7.524,0,1,1,1,0,1,0,0,1,1,1,1,0,232.59,756.826,4654.8,3643.95
4721,-17.778,-17.778,0,23.467,85.494,38.412,252.5,7.72,0,9990000,0,1410,1410.387,1417.555,56.652,6.921,17.901,37.953,0,0,19.71,1.211,1,0,0,1,0,1,1,0,0,300,293.988,7.559,0,1,1,1,0,1,0,0,1,1,1,1,0,232.762,756.98,4655.8,3644.95
4722,-17.778,-17.778,0,23.329,85.312,40.705,252.5,6.929,0,9990000,0,1410,1409.395,1417.694,56.895,6.936,17.927,37.928,0,0,19.771,1.335,1,0,0,1,0,1,1,0,0,300,293.934,7.573,0,1,1,1,0,1,0,0,1,1,1,1,0,232.656,757.177,4656.817,3645.967
4723,-17.778,-17.778,0,23.374,85.48,44.64,252.6,5.718,0,9990000,0,1410,1410.083,1417.9,56.722,6.919,17.927,37.801,0,0,19.782,1.235,1,0,0,1,0,1,1,0,0,300,293.936,7.567,0,1,1,1,0,1,0,0,1,1,1,1,0,232.708,756.968,4657.817,3646.967
4724,-17.778,-17.778,0,23.472,85.695,42.613,252.6,6.503,0,9990000,0,1410,1409.699,1418.023,56.732,6.926,17.931,37.81,0,0,19.776,1.258,1,0,0,1,0,1,1,0,0,300,293.992,7.588,0,1,1,1,0,1,0,0,1,1,1,1,0,232.822,757.014,4658.817,3647.967
4725,-17.778,-17.778,0,23.386,85.61,38.177,252.6,7.983,0,9990000,0,1410,1409.851,1417.513,56.693,6.939,17.903,38.1,0,0,19.706,1.311,1,0,0,1,0,1,1,0,0,300,293.892,7.523,0,1,1,1,0,1,0,0,1,1,1,1,0,232.661,757.065,4659.817,3648.967
4726,-17.778,-17.778,0,23.425,85.511,39.78,252.5,7.358,0,9990000,0,1410,1410.228,1417.673,56.622,6.935,17.903,37.93,0,0,19.71,1.202,1,0,0,1,0,1,1,0,0,300,293.965,7.541,0,1,1,1,0,1,0,0,1,1,1,1,0,232.991,757.059,4660.817,3649.967
4727,-17.778,-17.778,0,23.404,85.653,42.947,252.6,6.343,0,9990000,0,1410,1410.19,1418.163,56.683,6.932,17.919,37.997,0,0,19.746,1.343,1,0,0,1,0,1,1,0,0,300,293.87,7.533,0,1,1,1,0,1,0,0,1,1,1,1,0,232.718,757.1,4661.833,3650.983
4728,-17.778,-17.778,0,23.333,85.774,43.602,252.6,6.174,0,9990000,0,1410,1409.624,1417.85,56.81,6.932,17.923,37.961,0,0,19.763,1.338,1,0,0,1,0,1,1,0,0,300,294.028,7.585,0,1,1,1,0,1,0,0,1,1,1,1,0,232.604,757.16,4662.833,3651.983
4729,-17.778,-17.778,0,23.365,85.917,43.006,252.6,6.483,0,9990000,0,1410,1410.159,1417.468,56.709,6.928,17.899,38.059,0,0,19.702,1.279,1,0,0,1,0,1,1,0,0,300,294.025,7.579,0,1,1,1,0,1,0,0,1,1,1,1,0,232.787,757.091,4663.833,3652.983
4730,-17.778,-17.778,0,23.345,86.017,42.248,252.6,6.75,0,9990000,0,1410,1409.787,1417.541,56.853,6.924,17.926,37.968,0,0,19.769,1.338,1,0,0,1,0,1,1,0,0,300,293.896,7.534,0,1,1,1,0,1,0,0,1,1,1,1,0,232.742,756.97,4664.833,3653.983
4731,-17.778,-17.778,0,23.348,85.998,42.341,252.6,6.723,0,9990000,0,1410,1410.036,1418.05,56.691,6.918,17.927,37.806,0,0,19.776,1.213,1,0,0,1,0,1,1,0,0,300,294.201,7.589,0,1,1,1,0,1,0,0,1,1,1,1,0,232.687,756.764,4665.85,3655
4732,-17.778,-17.778,0,23.467,86.12,41.8,252.6,6.934,0,9990000,0,1410,1410.209,1418.225,56.681,6.934,17.906,37.836,0,0,19.714,1.161,1,0,0,1,0,1,1,0,0,300,294.034,7.558,0,1,1,1,0,1,0,0,1,1,1,1,0,232.841,756.75,4666.85,3656
4733,-17.778,-17.778,0,23.41,86.173,41.8,252.6,6.936,0,9990000,0,1410,1409.454,1417.964,56.951,6.936,17.93,37.928,0,0,19.775,1.332,1,0,0,1,0,1,1,0,0,300,293.928,7.549,0,1,1,1,0,1,0,0,1,1,1,1,0,232.516,757.088,4667.85,3657
4734,-17.778,-17.778,0,23.405,86.141,41.8,252.6,6.929,0,9990000,0,1410,1410.489,1417.799,56.641,6.929,17.899,38.041,0,0,19.7,1.264,1,0,0,1,0,1,1,0,0,300,293.935,7.6,0,1,1,1,0,1,0,0,1,1,1,1,0,232.9,756.972,4668.85,3658
